level,	time,	path,	model,	serial,	container,	slot,	msg,	errtype,	raw,	info,	eunit,	note
info,	2026/03/10 10:24:01,	/dev/sdmb,	ST4000NM002A,	WS23LDH7,	RX1217rp-1,	2,	plugin,	,	0,	,	,	
debug,	2026/03/10 10:24:01,	/dev/sdmb,	ST4000NM002A,	WS23LDH7,	RX1217rp-1,	2,	disk_refresh,	,	0,	,	,	
info,	2026/03/04 00:02:05,	/dev/sdsc,	HAT5300-4T,	2420U6RA0A06TFW1H,	RX1217rp-2,	9,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:05,	/dev/sdqb,	HAT5300-4T,	2420U6RA0A063FW1H,	RX1217rp-2,	2,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:05,	/dev/sdrc,	HAT5300-4T,	2420U6RA0A0GAFW1H,	RX1217rp-2,	6,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:05,	/dev/sdra,	HAT5300-4T,	2420U6RA0A0CSFW1H,	RX1217rp-2,	4,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:05,	/dev/sdsb,	HAT5300-4T,	2420U6RA0A0BGFW1H,	RX1217rp-2,	8,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:05,	/dev/sdta,	HAT5300-4T,	2420U6RA0A189FW1H,	RX1217rp-2,	10,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:04,	/dev/sdrb,	HAT5300-4T,	2420U6RA0A0BEFW1H,	RX1217rp-2,	5,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:04,	/dev/sdqc,	HAT5300-4T,	2420U6RA0A0D4FW1H,	RX1217rp-2,	3,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:04,	/dev/sdsa,	HAT5300-4T,	2420U6RA0A069FW1H,	RX1217rp-2,	7,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:04,	/dev/sdtb,	HAT5300-4T,	2420U6RA0A061FW1H,	RX1217rp-2,	11,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:04,	/dev/sdqa,	HAT5300-4T,	2420U6RA0A0CCFW1H,	RX1217rp-2,	1,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:02:04,	/dev/sdtc,	HAT5300-4T,	2420U6RA0A068FW1H,	RX1217rp-2,	12,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:12,	/dev/sdoa,	ST4000NM002A,	WS23LDF5,	RX1217rp-1,	7,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:12,	/dev/sdnb,	ST4000NM0035-1V4107,	ZC19PFSG,	RX1217rp-1,	5,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:12,	/dev/sdf,	ST4000NM0035-1V4107,	ZC17ZSKN,	RS3617RPxs,	6,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:12,	/dev/sdpb,	ST4000NM002A,	WS23LDK4,	RX1217rp-1,	11,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sdl,	ST4000NM0035-1V4107,	ZC184H3P,	RS3617RPxs,	12,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sdh,	ST4000NM0035-1V4107,	ZC1B50Q0,	RS3617RPxs,	8,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sdpc,	ST4000NM002A,	WS23LDC0,	RX1217rp-1,	12,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sdpa,	ST4000NM002A,	WS23LD22,	RX1217rp-1,	10,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sdob,	ST4000NM002A,	WS23LD51,	RX1217rp-1,	8,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sdmc,	ST4000NM0035-1V4107,	ZC11XPD8,	RX1217rp-1,	3,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sde,	ST4000NM002A,	WS23LD71,	RS3617RPxs,	5,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:11,	/dev/sdoc,	ST4000NM002A,	WS23LDJ2,	RX1217rp-1,	9,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:10,	/dev/sdnc,	ST4000NM0035-1V4107,	ZC15VT6Z,	RX1217rp-1,	6,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:10,	/dev/sdna,	ST4000NM0035-1V4107,	ZC124SEN,	RX1217rp-1,	4,	disk_smart_test_end,	,	0,	,	,	
info,	2026/03/04 00:01:10,	/dev/sdma,	ST4000NM0035-1V4107,	ZC129286,	RX1217rp-1,	1,	disk_smart_test_end,	,	0,	,	,	
